,ricf_oid,ba_ntr,ba_fdt,ba_fnd,ba_evl,ao_ad,ao_adn,fa_dine_this,fa_dinu_this,fp_ntt_end,fp_tt_end,doi_1,doi_2,ba_fnd_r,ba_fdt_r,ba_fdt_y,ba_fdt_o
122,4290,1,2015-01-19,5000.0,未参评,32834713.7,0.0,15395900.0,17438813.7,50004200.52,51532618.62,32834713.7,32834713.7,50000000.0,2015,2015.0,2.0
123,218,0,2007-08-28,800.0,3A,13748000.0,0.0,12090000.0,1658000.0,36294001.13,47645658.37,13748000.0,13748000.0,8000000.0,2007,2007.0,10.0
124,5043,1,2016年07月11日,200.0,--,2012366.18,0.0,0.0,2012366.18,1682678.36,1694953.36,2012366.18,2012366.18,2000000.0,2016,2016.0,1.0
125,888,0,2011-03-24,400.0,未参评,0.0,0.0,0.0,0.0,7157393.19,7217393.19,0.0,0.0,4000000.0,2011,2011.0,6.0
126,4627,1,2015年08月13日,200.0,未参评,5989480.9,0.0,610580.0,5378900.9,10835325.25,10835325.25,5989480.9,5989480.9,2000000.0,2015,2015.0,2.0
127,1867,1,2012-03-16,2000.0,未参评,1500000.0,0.0,0.0,1500000.0,21095227.25,21102147.25,1500000.0,1500000.0,20000000.0,2012,2012.0,5.0
128,5508,1,2016年12月30日,200.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,2016,2016.0,1.0
129,3250,1,2009-06-03,200.0,未参评,0.0,0.0,0.0,0.0,1948744.93,1948744.93,0.0,0.0,2000000.0,2009,2009.0,8.0
130,3005,0,2006-01-26,400.0,4A,1421274.06,0.0,0.0,1421274.06,4331087.9,4567512.05,1421274.06,1421274.06,4000000.0,2006,2006.0,11.0
131,18,1,1992年06月19日,400.0,5A,0.0,0.0,0.0,20590000.0,103115272.59,103117809.12,20590000.0,0.0,4000000.0,1992,1992.0,25.0
132,4361,1,2015-03-02,5000.0,未参评,21400000.0,0.0,0.0,21400000.0,50039361.74,50039361.74,21400000.0,21400000.0,50000000.0,2015,2015.0,2.0
133,2047,1,2012-05-10,200.0,4A,7854411.62,0.0,7184136.72,670274.9,11575586.45,13093221.24,7854411.62,7854411.62,2000000.0,2012,2012.0,5.0
134,2089,1,2013-03-26,200.0,未参评,662148.87,0.0,0.0,662148.87,2096667.15,2106667.15,662148.87,662148.87,2000000.0,2013,2013.0,4.0
135,64,0,1992年06月19日,500.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,1992,1992.0,25.0
136,2322,1,2013-08-02,300.0,未参评,8445189.86,0.0,8445189.86,0.0,22875866.3,22886042.3,8445189.86,8445189.86,3000000.0,2013,2013.0,4.0
