,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt,sc_gongo,sco_na,Province,ba_age,fa_dint,ba_gvof
217,946,周培源基金会,4,0,0,0.0,1993-03-15,9.0,2,0.0,232000.0,0.0,959.83,0,1,Beijing,22.0,23.2,00
218,2701,甘肃省扶贫基金会,10,0,0,1.0,1990-11-01,7.0,3,0.0,360673.58,20.4,987.64,1,0,Guangdong,25.0,36.07,00
219,563,北京大学教育基金会,31,0,1,0.0,1995-07-04,23.0,5,569607553.57,889097.13,0.0,444744.96,1,1,Beijing,20.0,57049.67,01
220,2292,浙江省残疾人福利基金会,7,0,0,1.0,1985-06-08,15.0,5,9038884.0,3198754.62,0.0,2391.47,1,0,Zhejiang,30.0,1223.76,00
224,876,厦门残疾人福利基金会,3,0,0,1.0,2006-01-16,23.0,2,32496522.72,330800.0,150.0,4507.39,1,0,Fujian,9.0,3282.73,00
225,3416,重庆市华岩文教基金会,7,0,0,1.0,2006-05-08,10.0,3,300511.0,2796812.5,0.0,758.98,0,0,Chongqing,9.0,309.73,00
226,964,哈尔滨市香坊区残疾人福利基金会,4,4,0,1.0,2009-06-26,19.0,4,0.0,2250.0,0.0,534.95,1,0,Heilongjiang,6.0,0.22,40
229,2742,石狮市蔡辉煌教育基金会,0,0,0,0.0,2008-05-06,11.0,3,0.0,0.0,0.0,277.59,0,0,Fujian,7.0,0.0,00
230,3042,达拉特旗人民教育基金会,1,0,0,1.0,2009-12-17,13.0,3,0.0,2827014.5,0.0,732.28,1,0,Neimenggu,6.0,282.7,00
231,2033,沈阳市残疾人福利基金会,0,0,0,1.0,2008-01-08,7.0,3,2464982.0,40424.32,0.0,804.38,1,0,Liaoning,7.0,250.54,00
232,272,中国艺术节基金会,6,0,0,1.0,1988-09-01,7.0,1,0.0,5851714.39,0.0,896.62,1,1,Beijing,27.0,585.17,00
235,1617,广西华侨爱心基金会,5,0,0,1.0,2009-08-18,7.0,5,0.0,3662440.0,0.0,506.25,1,0,Guangxi,6.0,366.24,00
237,1815,杭州市萧山区人民教育基金会,1,0,0,1.0,1990-05-08,18.0,2,0.0,11440900.0,0.0,2151.68,1,0,Zhejiang,25.0,1144.09,00
238,2366,海盐县农业技术推广基金会,3,1,0,1.0,2013-12-05,10.0,5,0.0,0.0,95.0,753.81,1,0,Zhejiang,2.0,0.0,10
241,341,云南省法律援助基金会,4,1,0,1.0,2009-10-27,25.0,2,3054725.0,5730.0,0.0,2019.43,1,0,Yunnan,6.0,306.05,10
243,247,中国法学交流基金会,5,0,1,1.0,1986-05-15,10.0,1,9682500.0,0.0,0.0,1102.43,1,1,Beijing,29.0,968.25,01
244,891,台州市黄岩区教育发展基金会,0,0,0,1.0,2009-03-03,8.0,3,0.0,53650000.0,0.0,413.81,1,0,Zhejiang,6.0,5365.0,00
245,3205,陕西省神木县民生慈善基金会,16,0,0,0.0,2011-06-15,25.0,4,2386100.0,0.0,0.0,281916.07,1,0,Shaanxi,4.0,238.61,00
248,1176,宁波市海曙区人民教育基金会,0,0,0,1.0,2005-11-28,9.0,3,0.0,500000.0,0.0,3449.16,1,0,Zhejiang,10.0,50.0,00
249,1089,天津市滨海社会救助基金会,2,0,0,0.0,2008-06-26,5.0,3,0.0,0.0,0.0,194.2,0,0,Tianjin,7.0,0.0,00
