,ricf_oid,ba_cn,fa_dint,ba_evl,ba_nfe,cf_govc,sc_gongo,ba_gvof,fp_tt,ba_age,ba_bn,sco_na,ba_ntr,Province
960,231,中国孔子基金会,2117959.81,3,35,0.0,1,00,105330493.42,31.0,17.0,1,1.0,Shandong
961,2210,浙江千训爱心慈善基金会,20433302.07,5,6,0.0,0,00,14985240.33,4.0,9.0,0,0.0,Zhejiang
964,2248,浙江滴水慈善基金会,7824571.61,4,2,110000.0,0,00,13509243.98,4.0,9.0,0,0.0,Zhejiang
967,211,中国关心下一代健康体育基金会,8568938.0,1,9,0.0,1,00,12785377.87,12.0,11.0,1,1.0,Beijing
969,2936,西北农林科技大学教育发展基金会,15911801.01,3,8,0.0,1,00,38921977.35,4.0,20.0,1,0.0,Shaanxi
970,1109,天津桃李源文化基金会,100000.0,3,2,0.0,1,01,4309070.57,5.0,6.0,0,0.0,Tianjin
972,942,吴作人国际美术基金会,9430000.0,1,5,0.0,0,00,17372499.59,26.0,9.0,1,0.0,Beijing
975,276,中国青年创业就业基金会,80896036.38,4,15,0.0,1,00,228450224.88,9.0,21.0,1,1.0,Beijing
979,2054,河北省志愿服务基金会,6510522.57,4,4,0.0,1,00,7449126.47,3.0,25.0,0,1.0,Hebei
984,198,中国交响乐发展基金会,5730868.0,3,6,0.0,1,00,8384433.8,21.0,18.0,1,1.0,Beijing
988,1111,天诺慈善基金会,7200000.0,3,11,0.0,0,00,6141274.15,7.0,5.0,1,0.0,Beijing
991,203,中国企业管理科学基金会,2000000.0,3,6,0.0,1,00,26525094.2,28.0,16.0,1,1.0,Beijing
995,1330,山西省姚奠中国学教育基金会,700000.0,3,0,0.0,0,00,17016688.53,5.0,12.0,0,0.0,Shanxi
996,240,中国敦煌石窟保护研究基金会,9928313.22,2,5,0.0,1,00,33417408.67,20.0,19.0,1,1.0,Gansu
997,3310,黑龙江恢先地震工程学基金会,0.0,4,1,0.0,1,01,7124930.93,13.0,25.0,0,1.0,Heilongjiang
1001,3433,重庆浙商爱心基金会,2289284.45,3,3,0.0,1,00,4940910.29,8.0,17.0,0,1.0,Chongqing
1003,3321,黑龙江省哈尔滨工业大学附属中学校教育发展基金会,12050000.0,4,4,0.0,1,00,6931735.91,4.0,5.0,0,0.0,Heilongjiang
1004,3453,重庆市青年创新创业基金会,16067942.97,5,7,8800000.0,1,00,21061359.55,6.0,8.0,0,1.0,Chongqing
1007,186,中华文学基金会,10500000.0,1,23,0.0,1,01,28707023.7,29.0,19.0,1,1.0,Beijing
1010,352,云南省青年创业就业基金会,1365804.0,3,7,0.0,1,00,8192640.5,6.0,9.0,0,1.0,Yunnan
1012,1339,山西省文化发展基金会,11100000.0,4,11,0.0,1,00,14705305.52,5.0,15.0,0,1.0,Shanxi
1013,339,云南省杨善洲绿化基金会,3223945.3,5,6,350000.0,1,00,9386584.53,4.0,21.0,0,1.0,Yunnan
1020,1110,天津理工大学教育发展基金会,1038062.0,3,0,0.0,1,00,6200708.22,7.0,15.0,0,0.0,Tianjin
1028,70,上海市安济医疗救助基金会,4951590.59,4,2.0,0.0,1,00.0,24846385.36,9.0,8.0,0,0.0,Shanghai
1029,1717,招商局慈善基金会,55150000.0,4,7,96562.75,0,00,62657835.92,6.0,18.0,1,0.0,Guangdong
1033,1800,杭州市上城区教育发展基金会,16901105.2,4,0,0.0,1,00,63406046.69,10.0,21.0,0,1.0,Zhejiang
1034,827,南安市芙蓉基金会,5778825.13,5,13,0.0,0,10,65285977.92,24.0,17.0,0,0.0,Fujian
1037,3101,重庆西南大学教育基金会,34513225.28,5,7,13000.0,1,00,75463822.1,4.0,13.0,0,0.0,Chongqing
